published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,home_goals,away_goals,p,p_covered
2026-09-18T07:15:29Z,2026-09-18,leagues,1523230,2026-09-18T11:35:00Z,Hangzhou Greentown,Wuhan Three Towns,1-1,1,1,0.0872,0.2579
2026-09-18T07:15:29Z,2026-09-18,leagues,1523230,2026-09-18T11:35:00Z,Hangzhou Greentown,Wuhan Three Towns,2-0,2,0,0.0773,0.2579
2026-09-18T07:15:29Z,2026-09-18,leagues,1551802,2026-09-18T18:00:00Z,Jong Utrecht,VVV Venlo,1-1,1,1,0.1196,0.2916
2026-09-18T07:15:29Z,2026-09-18,leagues,1551802,2026-09-18T18:00:00Z,Jong Utrecht,VVV Venlo,0-1,0,1,0.0867,0.2916
2026-09-18T07:15:29Z,2026-09-18,leagues,1551802,2026-09-18T18:00:00Z,Jong Utrecht,VVV Venlo,1-2,1,2,0.0853,0.2916
2026-09-18T07:15:29Z,2026-09-18,leagues,1601537,2026-09-18T18:30:00Z,Juve Stabia,Cesena,1-1,1,1,0.1408,0.3755
2026-09-18T07:15:29Z,2026-09-18,leagues,1601537,2026-09-18T18:30:00Z,Juve Stabia,Cesena,1-0,1,0,0.1227,0.3755
2026-09-18T07:15:29Z,2026-09-18,leagues,1601537,2026-09-18T18:30:00Z,Juve Stabia,Cesena,0-0,0,0,0.1120,0.3755
2026-09-18T07:15:29Z,2026-09-18,leagues,1551346,2026-09-18T17:00:00Z,Kolding IF,Hillerød,1-1,1,1,0.1364,0.3765
2026-09-18T07:15:29Z,2026-09-18,leagues,1551346,2026-09-18T17:00:00Z,Kolding IF,Hillerød,1-0,1,0,0.1231,0.3765
2026-09-18T07:15:29Z,2026-09-18,leagues,1551346,2026-09-18T17:00:00Z,Kolding IF,Hillerød,0-0,0,0,0.1170,0.3765
2026-09-18T07:15:29Z,2026-09-18,leagues,1638083,2026-09-18T15:00:00Z,Lahti,FF Jaro,1-0,1,0,0.1353,0.3624
2026-09-18T07:15:29Z,2026-09-18,leagues,1638083,2026-09-18T15:00:00Z,Lahti,FF Jaro,1-1,1,1,0.1268,0.3624
2026-09-18T07:15:29Z,2026-09-18,leagues,1638083,2026-09-18T15:00:00Z,Lahti,FF Jaro,2-0,2,0,0.1003,0.3624
2026-09-18T07:15:29Z,2026-09-18,leagues,1549024,2026-09-18T17:00:00Z,Lyngby,Silkeborg,1-1,1,1,0.1397,0.3788
2026-09-18T07:15:29Z,2026-09-18,leagues,1549024,2026-09-18T17:00:00Z,Lyngby,Silkeborg,0-1,0,1,0.1240,0.3788
