published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,p,p_covered
2026-09-22T07:15:52Z,2026-09-22,cups,1640761,2026-09-22T18:45:00Z,Farnborough,Uxbridge,2-1,0.0912,0.2640
2026-09-22T07:15:52Z,2026-09-22,cups,1640761,2026-09-22T18:45:00Z,Farnborough,Uxbridge,1-0,0.0791,0.2640
2026-09-22T07:15:52Z,2026-09-22,cups,1640762,2026-09-22T18:45:00Z,Farnham Town,Cirencester Town,5-0,0.1079,0.3087
2026-09-22T07:15:52Z,2026-09-22,cups,1640762,2026-09-22T18:45:00Z,Farnham Town,Cirencester Town,6-0,0.1072,0.3087
2026-09-22T07:15:52Z,2026-09-22,cups,1640762,2026-09-22T18:45:00Z,Farnham Town,Cirencester Town,7-0,0.0936,0.3087
2026-09-22T07:15:52Z,2026-09-22,cups,1640763,2026-09-22T18:45:00Z,Gainsborough Trinity,Leamington,1-0,0.1527,0.3921
2026-09-22T07:15:52Z,2026-09-22,cups,1640763,2026-09-22T18:45:00Z,Gainsborough Trinity,Leamington,1-1,0.1227,0.3921
2026-09-22T07:15:52Z,2026-09-22,cups,1640763,2026-09-22T18:45:00Z,Gainsborough Trinity,Leamington,0-0,0.1167,0.3921
2026-09-22T07:15:52Z,2026-09-22,cups,1588899,2026-09-22T18:00:00Z,Gillingham,Cambridge United,1-2,0.0976,0.2793
2026-09-22T07:15:52Z,2026-09-22,cups,1588899,2026-09-22T18:00:00Z,Gillingham,Cambridge United,1-1,0.0954,0.2793
2026-09-22T07:15:52Z,2026-09-22,cups,1588899,2026-09-22T18:00:00Z,Gillingham,Cambridge United,0-2,0.0863,0.2793
2026-09-22T07:15:52Z,2026-09-22,cups,1638270,2026-09-22T18:00:00Z,Groene Ster,AFC Amsterdam,1-1,0.1245,0.3168
2026-09-22T07:15:52Z,2026-09-22,cups,1638270,2026-09-22T18:00:00Z,Groene Ster,AFC Amsterdam,0-1,0.1039,0.3168
2026-09-22T07:15:52Z,2026-09-22,cups,1638270,2026-09-22T18:00:00Z,Groene Ster,AFC Amsterdam,1-0,0.0884,0.3168
2026-09-22T07:15:52Z,2026-09-22,cups,1638272,2026-09-22T18:00:00Z,GVVV Veenendaal,DVS 33 Ermelo,1-0,0.1946,0.4840
2026-09-22T07:15:52Z,2026-09-22,cups,1638272,2026-09-22T18:00:00Z,GVVV Veenendaal,DVS 33 Ermelo,2-0,0.1793,0.4840
2026-09-22T07:15:52Z,2026-09-22,cups,1638272,2026-09-22T18:00:00Z,GVVV Veenendaal,DVS 33 Ermelo,3-0,0.1101,0.4840
