published_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,model,p_HOME_WIN,p_DRAW,p_AWAY_WIN,p_OVER_1_5,p_OVER_2_5,p_UNDER_2_5,p_UNDER_3_5,p_BTTS,p_GOALS_1_3,p_GOALS_2_3,p_UPSET,backed
2026-09-22T07:15:52Z,2026-09-22,cups,1640761,2026-09-22T18:45:00Z,FA_Cup_England,Farnborough,Uxbridge,v3/binary,0.6170,0.0730,0.3099,0.8816,0.6177,0.3300,0.7041,0.7363,0.6733,0.5451,0.2415,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640762,2026-09-22T18:45:00Z,FA_Cup_England,Farnham Town,Cirencester Town,v3/binary,0.6219,0.2439,0.1342,0.8494,0.7468,0.2589,0.3632,0.4447,0.3130,0.2865,0.3028,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1640763,2026-09-22T18:45:00Z,FA_Cup_England,Gainsborough Trinity,Leamington,v3/binary,0.7884,0.1498,0.0871,0.6448,0.5129,0.4849,0.7025,0.3932,0.6697,0.4063,0.3042,HOME_WIN
2026-09-22T07:15:52Z,2026-09-22,cups,1588899,2026-09-22T18:00:00Z,EFL_Trophy_England,Gillingham,Cambridge United,v3/binary,0.3316,0.1851,0.4833,0.8355,0.7736,0.3733,0.6861,0.6225,0.6228,0.5124,0.3139,ASIAN_OVER_2_0
2026-09-22T07:15:52Z,2026-09-22,cups,1638270,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Groene Ster,AFC Amsterdam,v3/binary,0.2363,0.2171,0.5466,0.9127,0.7641,0.3353,0.6002,0.6194,0.6068,0.5156,0.2727,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1638272,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,GVVV Veenendaal,DVS 33 Ermelo,v3/binary,0.7173,0.1193,0.1634,0.9424,0.8327,0.2322,0.6340,0.4783,0.6035,0.5385,0.2083,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1638273,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,HHC,Barendrecht,v3/binary,0.3990,0.2190,0.3820,0.7129,0.4795,0.5421,0.7099,0.3969,0.5723,0.4264,0.3767,
2026-09-22T07:15:52Z,2026-09-22,cups,1638276,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Kloetinge,Achilles Veen,v3/binary,0.4380,0.1803,0.3816,0.8691,0.7796,0.3181,0.5048,0.6360,0.4761,0.4278,0.3903,OVER_1_5
2026-09-22T07:15:52Z,2026-09-22,cups,1638274,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Koninklijke HFC,Dovo,v3/binary,0.7033,0.1167,0.1800,0.7397,0.6551,0.4229,0.5495,0.4760,0.5615,0.2806,0.2991,ASIAN_OVER_2_0
2026-09-22T07:15:52Z,2026-09-22,cups,1640764,2026-09-22T18:45:00Z,FA_Cup_England,Maidstone Utd,Cray Wanderers,v3/binary,0.7746,0.1365,0.1161,0.6662,0.4959,0.4774,0.7168,0.4262,0.6596,0.5547,0.1344,HOME_WIN
2026-09-22T07:15:52Z,2026-09-22,cups,1588908,2026-09-22T18:00:00Z,EFL_Trophy_England,Milton Keynes Dons,Crawley Town,v3/binary,0.4910,0.0536,0.4554,0.9266,0.8766,0.2402,0.4535,0.7270,0.3958,0.3823,0.0798,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588849,2026-09-22T18:00:00Z,EFL_Trophy_England,Notts County,Grimsby,v3/binary,0.6049,0.0795,0.3156,0.7921,0.7361,0.3859,0.5401,0.5215,0.5279,0.3578,0.3068,OVER_2_5
2026-09-22T07:15:52Z,2026-09-22,cups,1588854,2026-09-22T18:00:00Z,EFL_Trophy_England,Oldham,Fleetwood Town,v3/binary,0.4168,0.1252,0.4580,0.9500,0.9384,0.2315,0.3870,0.7580,0.3074,0.2218,0.0500,OVER_2_5
