published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,p_over_1_5,p_over_2_5,p_over_3_5,p_under_2_5,p_0_1,p_2,p_3,p_4plus,coherent
2026-09-21T07:03:07Z,2026-09-21,leagues,1493137,2026-09-21T17:30:00Z,Aldosivi,Atletico Tucuman,0.7731,0.4182,0.0797,0.5876,0.2269,0.3549,0.3385,0.0797,1
2026-09-21T07:03:07Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Barracas Central,Independ. Rivadavia,0.5813,0.2996,0.0500,0.7138,0.4187,0.2817,0.2496,0.0500,1
2026-09-21T07:03:07Z,2026-09-21,leagues,1639787,2026-09-21T22:30:00Z,Central Espanol,Atletico Torque,0.5892,0.3336,0.1087,0.6610,0.4108,0.2556,0.2249,0.1087,1
2026-09-21T07:03:07Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Criciuma,Operario-PR,0.7693,0.5684,0.2627,0.4180,0.2307,0.2009,0.3057,0.2627,1
2026-09-21T07:03:07Z,2026-09-21,leagues,1551345,2026-09-21T17:00:00Z,HB Koge,Hobro,0.6777,0.5014,0.2141,0.5010,0.3223,0.1763,0.2873,0.2141,1
2026-09-21T07:03:07Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Oţelul,Corvinul Hunedoara,0.7841,0.4996,0.3823,0.4937,0.2159,0.2845,0.1173,0.3823,1
2026-09-21T07:03:07Z,2026-09-21,leagues,1565260,2026-09-21T18:00:00Z,Petrolul Ploiesti,Csikszereda,0.7086,0.3142,0.2541,0.6845,0.2914,0.3944,0.0601,0.2541,1
