published_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,market,gradable,model_p,model_fair_odds,odds,odds_basis,edge_pct,open_median,open_median_utc,open_books,fair_open,fair_open_utc,fair_at_publish,fair_at_publish_utc,combinations,model
2026-09-21T07:03:07Z,2026-09-21,leagues,1520882,2026-09-21T22:30:00Z,Serie_B_Brazil,Criciuma,Operario-PR,HOME_WIN,1,0.5910,1.692,1.770,-,4.61,1.700,2026-09-18T22:41:27Z,9,1.794,2026-09-18T22:41:27Z,1.789,2026-09-21T04:41:09Z,,v3/binary
2026-09-21T07:03:07Z,2026-09-21,leagues,1493138,2026-09-21T22:00:00Z,Liga_Profesional_Argentina,Barracas Central,Independ. Rivadavia,DRAW,1,0.3660,2.732,3.000,-,9.80,2.930,2026-09-18T22:41:27Z,9,3.078,2026-09-18T22:41:27Z,3.173,2026-09-21T04:41:09Z,VALUE SINGLE #1,v3/binary
2026-09-21T07:03:07Z,2026-09-21,leagues,1565259,2026-09-21T15:00:00Z,Romania_Liga1,Oţelul,Corvinul Hunedoara,DRAW,1,0.3600,2.778,3.000,-,8.00,3.080,2026-09-16T21:41:12Z,5,3.323,2026-09-16T21:41:12Z,3.069,2026-09-21T04:41:09Z,VALUE SINGLE #2,v3/binary
