settled_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,score
2026-09-23T07:07:06Z,2026-09-22,cups,1638282,2026-09-22T18:00:00Z,KNVB_Beker_Netherlands,Staphorst,SC Genemuiden,2-3
2026-09-23T07:07:06Z,2026-09-22,cups,1588891,2026-09-22T18:00:00Z,EFL_Trophy_England,Swindon Town,Newport County,0-2
2026-09-23T07:07:06Z,2026-09-22,cups,1588843,2026-09-22T18:00:00Z,EFL_Trophy_England,Tranmere,Shrewsbury,1-0
2026-09-23T07:07:06Z,2026-09-22,cups,1640765,2026-09-22T18:45:00Z,FA_Cup_England,Truro City,Merthyr Town,2-0
2026-09-23T07:07:06Z,2026-09-22,cups,1588872,2026-09-22T18:00:00Z,EFL_Trophy_England,Walsall,Stevenage,1-6
2026-09-23T07:07:06Z,2026-09-22,cups,1588823,2026-09-22T18:00:00Z,EFL_Trophy_England,Wigan,Blackpool,3-2
2026-09-23T07:07:06Z,2026-09-22,cups,1640766,2026-09-22T18:45:00Z,FA_Cup_England,Wimborne Town,Weston-super-Mare,0-0
2026-09-23T07:07:06Z,2026-09-22,cups,1640767,2026-09-22T18:45:00Z,FA_Cup_England,Wingate & Finchley,Hemel Hempstead Town,2-1
2026-09-23T07:07:06Z,2026-09-22,cups,1640768,2026-09-22T18:45:00Z,FA_Cup_England,Worksop Town,AFC Telford United,5-2
2026-09-23T07:07:06Z,2026-09-22,women,1638288,2026-09-22T19:00:00Z,UEFA_Champions_League_Women,Arsenal W,Køge W,1-0
2026-09-23T07:07:06Z,2026-09-22,women,1638300,2026-09-22T16:45:00Z,UEFA_Champions_League_Women,Bayern Munich W,Manchester City W,2-2
2026-09-23T07:07:06Z,2026-09-22,women,1638310,2026-09-22T19:00:00Z,UEFA_Champions_League_Women,Juventus W,SL Benfica W,1-2
2026-09-23T07:07:06Z,2026-09-22,women,1638331,2026-09-22T19:00:00Z,UEFA_Champions_League_Women,Real Madrid W,Paris Saint Germain W,1-1
2026-09-24T07:05:46Z,2026-09-23,leagues,1493703,2026-09-23T16:00:00Z,USL_Championship,Birmingham Legion,Brooklyn,4-0
2026-09-24T07:05:46Z,2026-09-23,cups,1640760,2026-09-23T18:45:00Z,FA_Cup_England,Exmouth,Thame United,1-3
2026-09-24T07:05:46Z,2026-09-23,cups,1635582,2026-09-23T08:00:00Z,Emperor_Cup_Japan,Gamba Osaka,Tokushima Vortis,5-0
2026-09-24T07:05:46Z,2026-09-23,cups,1637882,2026-09-23T16:00:00Z,NM_Cupen_Norway,Grorud,Moss,1-1
2026-09-24T07:05:46Z,2026-09-23,cups,1638275,2026-09-23T18:00:00Z,KNVB_Beker_Netherlands,Ijsselmeervogels,Gemert,0-3
2026-09-24T07:05:46Z,2026-09-23,cups,1638285,2026-09-23T18:00:00Z,KNVB_Beker_Netherlands,JOS Watergraafsmeer,TEC,2-2
2026-09-24T07:05:46Z,2026-09-23,cups,1635583,2026-09-23T08:00:00Z,Emperor_Cup_Japan,Kashima,Ventforet Kofu,3-1
2026-09-24T07:05:46Z,2026-09-23,cups,1635584,2026-09-23T08:00:00Z,Emperor_Cup_Japan,Kashiwa Reysol,Imabari,4-0
2026-09-24T07:05:46Z,2026-09-23,cups,1635586,2026-09-23T08:00:00Z,Emperor_Cup_Japan,Kyoto Sanga,Fujieda MYFC,1-0
2026-09-24T07:05:46Z,2026-09-23,cups,1635587,2026-09-23T08:00:00Z,Emperor_Cup_Japan,Machida Zelvia,Tochigi City,2-1
2026-09-24T07:05:46Z,2026-09-23,cups,1638280,2026-09-23T18:00:00Z,KNVB_Beker_Netherlands,Sparta Nijkerk,UDI '19,3-1
2026-09-24T07:05:46Z,2026-09-23,cups,1638283,2026-09-23T18:00:00Z,KNVB_Beker_Netherlands,TOGB,ROHDA Raalte,4-6
2026-09-24T07:05:46Z,2026-09-23,cups,1635592,2026-09-23T08:00:00Z,Emperor_Cup_Japan,Vissel Kobe,Sagan Tosu,1-0
2026-09-24T07:05:46Z,2026-09-23,women,1638296,2026-09-23T19:00:00Z,UEFA_Champions_League_Women,Barcelona W,Paris FC W,5-2
2026-09-24T07:05:46Z,2026-09-23,women,1638303,2026-09-23T19:00:00Z,UEFA_Champions_League_Women,Chelsea W,Austria Wien W,1-0
2026-09-24T07:05:46Z,2026-09-23,women,1638317,2026-09-23T16:45:00Z,UEFA_Champions_League_Women,OH Leuven W,Roma W,0-0
2026-09-24T07:05:46Z,2026-09-23,women,1638334,2026-09-23T16:45:00Z,UEFA_Champions_League_Women,Servette Chênois W,Lyon W,0-8
